userid,artist,track,playlist,Artist ID,Genre 1,Genre 2,Genre 3,Genre 4,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
9cc0cfd4d7d7885102480dd99e7a90d6,Elvis Costello,Alison,HARD ROCK 2010,2BGRfQgtzikz1pzAD0kaEn,new wave, new wave pop, permanent wave, power pop,0.557,0.32,1.0,-10.792,0.0,0.0438,0.739,3.99e-05,0.112,0.377,176.647,204533.0,4
9cc0cfd4d7d7885102480dd99e7a90d6,Elvis Costello,Tramp The Dirt Down,HARD ROCK 2010,2BGRfQgtzikz1pzAD0kaEn,new wave, new wave pop, permanent wave, power pop,0.403,0.272,7.0,-9.955,1.0,0.03,0.485,0.0,0.326,0.302,143.598,341333.0,3
9cc0cfd4d7d7885102480dd99e7a90d6,Elvis Costello & The Attractions,"(What's So Funny 'Bout) Peace, Love And Understanding",HARD ROCK 2010,4qmHkMxr6pTWh5Zo74odpH,art rock, heartland rock, new romantic, new wave,0.381,0.918,7.0,-9.451,1.0,0.0803,0.000466,0.0511,0.321,0.368,142.34,211630.0,4
9cc0cfd4d7d7885102480dd99e7a90d6,Elvis Costello & The Attractions,Accidents Will Happen,HARD ROCK 2010,4qmHkMxr6pTWh5Zo74odpH,art rock, heartland rock, new romantic, new wave,0.608,0.597,0.0,-11.115,1.0,0.0276,0.0441,0.00342,0.285,0.736,120.077,181720.0,4
9cc0cfd4d7d7885102480dd99e7a90d6,Elvis Costello & The Attractions,Oliver's Army,HARD ROCK 2010,4qmHkMxr6pTWh5Zo74odpH,art rock, heartland rock, new romantic, new wave,0.527,0.725,4.0,-9.405,1.0,0.0287,0.336,0.0,0.221,0.94,143.162,180840.0,4
9cc0cfd4d7d7885102480dd99e7a90d6,Elvis Costello & The Attractions,Oliver's Army,HARD ROCK 2010,4qmHkMxr6pTWh5Zo74odpH,art rock, heartland rock, new romantic, new wave,0.527,0.725,4.0,-9.405,1.0,0.0287,0.336,0.0,0.221,0.94,143.162,180840.0,4
9cc0cfd4d7d7885102480dd99e7a90d6,Tiffany Page,Out Of My Mind,HARD ROCK 2010,1Q6EgKHZ8mt7Hm5bKa6DbG,Not Found,None,None,None,0.394,0.386,7.0,-10.593,1.0,0.0388,0.403,0.0687,0.754,0.239,108.334,610533.0,3
9cc0cfd4d7d7885102480dd99e7a90d6,Lissie,In Sleep,HARD ROCK 2010,3j4FHbC5zwmYGJ7r0ZgaMt,folk-pop,None,None,None,0.625,0.834,1.0,-5.727,0.0,0.0356,0.000922,2.76e-06,0.189,0.709,133.017,296973.0,4
9cc0cfd4d7d7885102480dd99e7a90d6,Lissie,Little Lovin',HARD ROCK 2010,3j4FHbC5zwmYGJ7r0ZgaMt,folk-pop,None,None,None,0.599,0.712,4.0,-6.556,0.0,0.0487,0.557,0.00102,0.122,0.378,116.047,268960.0,4
9cc0cfd4d7d7885102480dd99e7a90d6,Lissie,Oh Mississippi,HARD ROCK 2010,3j4FHbC5zwmYGJ7r0ZgaMt,folk-pop,None,None,None,0.359,0.274,3.0,-8.319,1.0,0.0262,0.881,0.00139,0.115,0.23,100.13,202680.0,4
9cc0cfd4d7d7885102480dd99e7a90d6,Paul McCartney,Band On The Run,HARD ROCK 2010,4STHEaNw4mPZ2tzheohgXB,classic rock, mellow gold, rock, soft rock,0.479,0.601,7.0,-8.806,1.0,0.0318,0.0832,0.00142,0.11,0.669,124.966,313027.0,4
9cc0cfd4d7d7885102480dd99e7a90d6,Paul McCartney,Dance Tonight,HARD ROCK 2010,4STHEaNw4mPZ2tzheohgXB,classic rock, mellow gold, rock, soft rock,0.531,0.891,5.0,-2.539,1.0,0.0431,0.0823,0.00551,0.161,0.926,170.973,174933.0,4
9cc0cfd4d7d7885102480dd99e7a90d6,Paul McCartney,Dance Tonight,HARD ROCK 2010,4STHEaNw4mPZ2tzheohgXB,classic rock, mellow gold, rock, soft rock,0.787,0.425,10.0,-5.692,0.0,0.0641,0.00637,0.00169,0.196,0.711,99.225,221280.0,4
9cc0cfd4d7d7885102480dd99e7a90d6,Paul McCartney,Live And Let Die,HARD ROCK 2010,4STHEaNw4mPZ2tzheohgXB,classic rock, mellow gold, rock, soft rock,0.419,0.36,7.0,-15.375,1.0,0.058,0.234,0.000432,0.207,0.232,153.974,190933.0,5
9cc0cfd4d7d7885102480dd99e7a90d6,Joe Echo,On All My Sundays - Liam Shachar Radio Mix,HARD ROCK 2010,2bekbCTQa7ve7sz4z4RvPK,Not Found,None,None,None,0.563,0.839,11.0,-6.626,0.0,0.0344,0.00179,0.336,0.0722,0.403,125.983,249824.0,4
9cc0cfd4d7d7885102480dd99e7a90d6,Joe Echo,On All My Sundays - Liam Shachar Remix,HARD ROCK 2010,2bekbCTQa7ve7sz4z4RvPK,Not Found,None,None,None,0.631,0.891,2.0,-7.322,1.0,0.0355,0.000634,0.726,0.0903,0.385,125.985,422857.0,4
9cc0cfd4d7d7885102480dd99e7a90d6,Joe Echo,Personal Alcatraz,HARD ROCK 2010,2bekbCTQa7ve7sz4z4RvPK,Not Found,None,None,None,0.74,0.721,0.0,-5.885,1.0,0.0275,0.164,0.0,0.0704,0.504,114.489,200627.0,4
9cc0cfd4d7d7885102480dd99e7a90d6,Joe Echo,The World It Still Revolves - Garage Demo,HARD ROCK 2010,2bekbCTQa7ve7sz4z4RvPK,Not Found,None,None,None,0.615,0.12,2.0,-19.175,1.0,0.0307,0.919,0.23,0.109,0.24,77.478,315160.0,4
9cc0cfd4d7d7885102480dd99e7a90d6,The Breakers,Get Lost Get High Get Sick,HARD ROCK 2010,3O5xJKrR1BMeB0Z9YM77wp,Not Found,None,None,None,0.461,0.87,4.0,-3.022,1.0,0.0302,0.00171,2.95e-05,0.299,0.832,97.375,156573.0,4
9cc0cfd4d7d7885102480dd99e7a90d6,The Coronas,San Diego Song,HARD ROCK 2010,2tppd6KkhK4ULAd217Ecq1,irish rock,None,None,None,0.409,0.655,5.0,-5.965,1.0,0.0356,0.00421,0.0,0.183,0.353,170.852,171360.0,4
9cc0cfd4d7d7885102480dd99e7a90d6,Crowded House,Don't Dream It's Over,HARD ROCK 2010,7ohlPA8dRBtCf92zaZCaaB,australian rock, permanent wave,None,None,0.439,0.422,8.0,-17.227,1.0,0.0409,0.0148,4.84e-05,0.0697,0.551,81.833,236933.0,4
9cc0cfd4d7d7885102480dd99e7a90d6,Crowded House,Don't Dream It's Over,HARD ROCK 2010,7ohlPA8dRBtCf92zaZCaaB,australian rock, permanent wave,None,None,0.439,0.422,8.0,-17.227,1.0,0.0409,0.0148,4.84e-05,0.0697,0.551,81.833,236933.0,4
9cc0cfd4d7d7885102480dd99e7a90d6,Crowded House,Fall At Your Feet,HARD ROCK 2010,7ohlPA8dRBtCf92zaZCaaB,australian rock, permanent wave,None,None,0.65,0.371,0.0,-13.623,0.0,0.026,0.457,0.0116,0.102,0.561,102.583,198800.0,4
9cc0cfd4d7d7885102480dd99e7a90d6,Crowded House,Four Seasons In One Day,HARD ROCK 2010,7ohlPA8dRBtCf92zaZCaaB,australian rock, permanent wave,None,None,0.517,0.261,7.0,-17.196,1.0,0.0263,0.816,0.000163,0.0863,0.492,89.221,170160.0,4
9cc0cfd4d7d7885102480dd99e7a90d6,Crowded House,Not The Girl You Think You Are,HARD ROCK 2010,7ohlPA8dRBtCf92zaZCaaB,australian rock, permanent wave,None,None,0.547,0.365,4.0,-11.34,1.0,0.0244,0.816,1.22e-05,0.106,0.292,93.802,250630.0,3
9cc0cfd4d7d7885102480dd99e7a90d6,Crowded House,Weather With You,HARD ROCK 2010,7ohlPA8dRBtCf92zaZCaaB,australian rock, permanent wave,None,None,0.643,0.614,2.0,-12.878,1.0,0.0279,0.25,7.17e-06,0.214,0.891,93.982,224467.0,4
9cc0cfd4d7d7885102480dd99e7a90d6,Joshua Radin,Friend Like You,HARD ROCK 2010,7omzannyG2lfDqP5xyZo34,acoustic pop, neo mellow,None,None,0.571,0.262,11.0,-17.502,1.0,0.0357,0.54,0.0408,0.141,0.19,87.891,140400.0,4
9cc0cfd4d7d7885102480dd99e7a90d6,Joshua Radin,I'd Rather Be With You [Radio Edit],HARD ROCK 2010,7omzannyG2lfDqP5xyZo34,acoustic pop, neo mellow,None,None,0.574,0.481,1.0,-12.306,1.0,0.0353,0.0717,0.000296,0.113,0.228,81.58,169213.0,4
9cc0cfd4d7d7885102480dd99e7a90d6,Joshua Radin,Only You,HARD ROCK 2010,7omzannyG2lfDqP5xyZo34,acoustic pop, neo mellow,None,None,0.545,0.255,8.0,-14.844,1.0,0.0311,0.362,1.77e-05,0.0841,0.831,98.088,149013.0,4
9cc0cfd4d7d7885102480dd99e7a90d6,Joshua Radin,What If You,HARD ROCK 2010,7omzannyG2lfDqP5xyZo34,acoustic pop, neo mellow,None,None,0.356,0.184,1.0,-16.404,1.0,0.0291,0.496,0.00132,0.131,0.278,85.853,274213.0,4
9cc0cfd4d7d7885102480dd99e7a90d6,Joshua Radin,Winter,HARD ROCK 2010,7omzannyG2lfDqP5xyZo34,acoustic pop, neo mellow,None,None,0.258,0.214,4.0,-15.255,1.0,0.0366,0.636,0.000362,0.141,0.404,170.275,203773.0,4
9cc0cfd4d7d7885102480dd99e7a90d6,Cocktail Slippers,Mastermind,HARD ROCK 2010,6vNj2NchLaDiqBH8nBAF2g,garage rock revival,None,None,None,0.514,0.701,7.0,-6.702,1.0,0.287,0.00497,0.0,0.186,0.244,171.091,247813.0,4
9cc0cfd4d7d7885102480dd99e7a90d6,Cocktail Slippers,Sentenced To Love,HARD ROCK 2010,6vNj2NchLaDiqBH8nBAF2g,garage rock revival,None,None,None,0.354,0.966,2.0,-3.259,1.0,0.106,0.00559,0.00014,0.342,0.765,151.062,218173.0,4
9cc0cfd4d7d7885102480dd99e7a90d6,Cocktail Slippers,St. Valentine's Day Massacre,HARD ROCK 2010,6vNj2NchLaDiqBH8nBAF2g,garage rock revival,None,None,None,0.323,0.826,0.0,-2.438,1.0,0.0363,0.000802,3.07e-06,0.14,0.639,151.538,269640.0,4
9cc0cfd4d7d7885102480dd99e7a90d6,Cocktail Slippers,You Do Run,HARD ROCK 2010,6vNj2NchLaDiqBH8nBAF2g,garage rock revival,None,None,None,0.405,0.855,9.0,-3.962,1.0,0.0441,0.000966,0.0,0.814,0.747,148.988,168693.0,4
9cc0cfd4d7d7885102480dd99e7a90d6,"Crosby, Stills & Nash",Helplessly Hoping,HARD ROCK 2010,2pdvghEHZJtgSXZ7cvNLou,album rock, classic rock, country rock, folk,0.483,0.159,7.0,-13.648,1.0,0.0353,0.914,0.0,0.111,0.423,146.721,157893.0,4
9cc0cfd4d7d7885102480dd99e7a90d6,"Crosby, Stills & Nash",Southern Cross,HARD ROCK 2010,2pdvghEHZJtgSXZ7cvNLou,album rock, classic rock, country rock, folk,0.669,0.437,2.0,-10.491,1.0,0.032,0.445,1.66e-06,0.171,0.614,81.631,280960.0,4
9cc0cfd4d7d7885102480dd99e7a90d6,"Crosby, Stills & Nash",Unequal Love,HARD ROCK 2010,2pdvghEHZJtgSXZ7cvNLou,album rock, classic rock, country rock, folk,0.587,0.173,9.0,-14.742,1.0,0.0413,0.561,0.00231,0.108,0.278,137.706,286000.0,4
9cc0cfd4d7d7885102480dd99e7a90d6,The Len Price 3,If You Live Round Here,HARD ROCK 2010,3rSocSuidLr6PIIFA9C2G7,garage rock revival, medway sound, mod revival,None,0.439,0.81,2.0,-3.82,0.0,0.0363,0.0609,0.0,0.0944,0.893,146.227,129013.0,4
9cc0cfd4d7d7885102480dd99e7a90d6,The Len Price 3,Man Who Used To Be,HARD ROCK 2010,3rSocSuidLr6PIIFA9C2G7,garage rock revival, medway sound, mod revival,None,0.264,0.912,9.0,-3.67,1.0,0.0805,6.44e-05,3.49e-05,0.355,0.707,169.183,143400.0,4
9cc0cfd4d7d7885102480dd99e7a90d6,The Len Price 3,Pictures,HARD ROCK 2010,3rSocSuidLr6PIIFA9C2G7,garage rock revival, medway sound, mod revival,None,0.516,0.897,0.0,-2.45,1.0,0.0582,0.000271,0.468,0.165,0.579,154.857,126307.0,4
9cc0cfd4d7d7885102480dd99e7a90d6,The Len Price 3,Pictures,HARD ROCK 2010,3rSocSuidLr6PIIFA9C2G7,garage rock revival, medway sound, mod revival,None,0.516,0.897,0.0,-2.45,1.0,0.0582,0.000271,0.468,0.165,0.579,154.857,126307.0,4
9cc0cfd4d7d7885102480dd99e7a90d6,The Len Price 3,Sailor's Sweetheart,HARD ROCK 2010,3rSocSuidLr6PIIFA9C2G7,garage rock revival, medway sound, mod revival,None,0.415,0.955,4.0,-1.481,1.0,0.0633,0.216,0.00334,0.39,0.767,126.563,171755.0,4
9cc0cfd4d7d7885102480dd99e7a90d6,The Len Price 3,The Girl Who Became a Machine,HARD ROCK 2010,3rSocSuidLr6PIIFA9C2G7,garage rock revival, medway sound, mod revival,None,0.315,0.958,9.0,-3.548,1.0,0.0528,0.000189,0.000986,0.33,0.79,156.852,139680.0,4
9cc0cfd4d7d7885102480dd99e7a90d6,Noah And The Whale,5 Years Time,IOW 2012,0aeLcja6hKzb7Uz2ou7ulP,stomp and holler,None,None,None,0.803,0.548,0.0,-7.103,1.0,0.12,0.351,0.0,0.0953,0.75,121.942,214920.0,4
9cc0cfd4d7d7885102480dd99e7a90d6,Noah And The Whale,5 Years Time,IOW 2012,0aeLcja6hKzb7Uz2ou7ulP,stomp and holler,None,None,None,0.803,0.548,0.0,-7.103,1.0,0.12,0.351,0.0,0.0953,0.75,121.942,214920.0,4
9cc0cfd4d7d7885102480dd99e7a90d6,Noah And The Whale,5 Years Time,IOW 2012,0aeLcja6hKzb7Uz2ou7ulP,stomp and holler,None,None,None,0.803,0.548,0.0,-7.103,1.0,0.12,0.351,0.0,0.0953,0.75,121.942,214920.0,4
9cc0cfd4d7d7885102480dd99e7a90d6,Noah And The Whale,L.I.F.E.G.O.E.S.O.N.,IOW 2012,0aeLcja6hKzb7Uz2ou7ulP,stomp and holler,None,None,None,0.603,0.745,4.0,-5.79,1.0,0.0368,0.207,0.0,0.348,0.606,81.981,228000.0,4
9cc0cfd4d7d7885102480dd99e7a90d6,Noah And The Whale,L.I.F.E.G.O.E.S.O.N.,IOW 2012,0aeLcja6hKzb7Uz2ou7ulP,stomp and holler,None,None,None,0.603,0.745,4.0,-5.79,1.0,0.0368,0.207,0.0,0.348,0.606,81.981,228000.0,4
